# 15 degrees from directly overhead
3	3.7939e-20
3.0081	3.6645e-20
3.0163	3.5404e-20
3.0244	3.4215e-20
3.0326	3.3074e-20
3.0408	3.1981e-20
3.0491	3.0932e-20
3.0573	2.9926e-20
3.0656	2.8961e-20
3.0739	2.8034e-20
3.0823	2.7144e-20
3.0906	2.629e-20
3.099	2.547e-20
3.1074	2.4682e-20
3.1158	2.3925e-20
3.1242	2.3198e-20
3.1327	2.25e-20
3.1412	2.1828e-20
3.1497	2.1183e-20
3.1582	2.0563e-20
3.1668	1.9967e-20
3.1753	1.9394e-20
3.1839	1.8842e-20
3.1926	1.8313e-20
3.2012	1.7803e-20
3.2099	1.7313e-20
3.2186	1.6843e-20
3.2273	1.639e-20
3.236	1.5954e-20
3.2448	1.5536e-20
3.2536	1.5133e-20
3.2624	1.4746e-20
3.2712	1.4375e-20
3.2801	1.4017e-20
3.289	1.3674e-20
3.2979	1.3344e-20
3.3068	1.3027e-20
3.3158	1.2723e-20
3.3248	1.2431e-20
3.3338	1.215e-20
3.3428	1.1881e-20
3.3518	1.1624e-20
3.3609	1.1377e-20
3.37	1.114e-20
3.3791	1.0914e-20
3.3883	1.0697e-20
3.3975	1.049e-20
3.4067	1.0293e-20
3.4159	1.0104e-20
3.4252	9.925e-21
3.4344	9.7545e-21
3.4437	9.5926e-21
3.4531	9.4393e-21
3.4624	9.2944e-21
3.4718	9.1578e-21
3.4812	9.0294e-21
3.4906	8.9092e-21
3.5001	8.7972e-21
3.5096	8.6932e-21
3.5191	8.5975e-21
3.5286	8.51e-21
3.5382	8.4307e-21
3.5477	8.3599e-21
3.5573	8.2977e-21
3.567	8.2443e-21
3.5766	8.1999e-21
3.5863	8.1649e-21
3.596	8.1397e-21
3.6058	8.1246e-21
3.6156	8.1202e-21
3.6253	8.1272e-21
3.6352	8.1464e-21
3.645	8.1785e-21
3.6549	8.2247e-21
3.6648	8.2863e-21
3.6747	8.3647e-21
3.6847	8.4618e-21
3.6946	8.5797e-21
3.7046	8.7211e-21
3.7147	8.8891e-21
3.7247	9.0878e-21
3.7348	9.322e-21
3.7449	9.598e-21
3.7551	9.9236e-21
3.7653	1.0309e-20
